Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  4.73      4.86     4.86 178940070     0.00     0.00  camlPervasives__$5e_135
  4.70      9.69     4.83   172220     0.00     0.00  mark_slice
  4.11     13.92     4.23 218731252     0.00     0.00  camlCursor__cursor_peek_147
  3.84     17.86     3.94 39896533     0.00     0.00  camlEvaluation_expr__algebra_execute_aux_376
  3.27     21.22     3.36 163012507     0.00     0.00  caml_send1
  2.85     24.14     2.93 49557358     0.00     0.00  parse_format
  2.47     26.68     2.54   305122     0.00     0.00  caml_oldify_local_roots
  2.45     29.20     2.52 362153714     0.00     0.00  caml_blit_string
  2.39     31.65     2.45 232817536     0.00     0.00  caml_alloc_string
  2.23     33.95     2.30 398913988     0.00     0.00  caml_modify
  2.16     36.16     2.22 245329699     0.00     0.00  caml_apply2
  2.00     38.21     2.05 158408887     0.00     0.00  camlCursor__cursor_junk_141
  1.80     40.06     1.85 49578166     0.00     0.00  caml_copy_string
  1.63     41.74     1.68 45954740     0.00     0.00  camlCode_util__fun_684
  1.60     43.38     1.65 87253059     0.00     0.00  compare_val
  1.59     45.01     1.63 407980089     0.00     0.00  caml_c_call
  1.55     46.60     1.59 66677054     0.00     0.00  caml_make_vect
  1.40     48.04     1.44   132902     0.00     0.00  sweep_slice
  1.14     49.21     1.17 72587186     0.00     0.00  camlList__map_86
  1.11     50.35     1.14 49557358     0.00     0.00  caml_format_int
  1.05     51.43     1.08 52346798     0.00     0.00  camlGalax_dm__method_docorder_996
  0.88     52.33     0.90 62252339     0.00     0.00  camlCursor__map_fun_247
  0.78     53.13     0.80 40735168     0.00     0.00  caml_oldify_one
  0.76     53.91     0.78      691     0.00     0.00  caml_allocN
  0.72     54.65     0.74 57904987     0.00     0.00  camlCursor__cursor_of_function_183
  0.72     55.39     0.74 43969083     0.00     0.00  caml_fl_merge_block
  0.71     56.12     0.73 46827917     0.00     0.00  camlArray__map_131
  0.67     56.81     0.69 183239255     0.00     0.00  caml_create_string
  0.67     57.50     0.69 22986957     0.00     0.00  camlList__combine_250
